barangay_psgc,predicted_abundance,HSI
600606033,0.00039894134,0.0005780682
600607043,0.00081959734,0.0599294
600608021,0.0006259972,0.03261391
600610014,0.00056228566,0.023624696
600612025,0.0003997596,0.00069351494
600616062,0.0010288355,0.08945131
603002054,0.0003998526,0.00070663914
603020030,0.00040024606,0.0007621534
603020033,0.0014142487,0.14383015
603021034,0.0014663836,0.15118597
603025030,0.0014361925,0.14692625
603028071,0.0003989414,0.00057807565
603031019,0.0003989414,0.00057807565
603045016,0.0009247069,0.07475956
604509008,0.0003989414,0.00057807565
604517012,0.0003989414,0.00057807565
604524013,0.0003989414,0.00057807565
604526002,0.0003989414,0.00057807565
607902026,0.0010529613,0.092855275
701202005,0.0003989414,0.00057807565
701203015,0.0003989414,0.00057807565
701204014,0.00039904378,0.0005925223
701211016,0.0003989414,0.00057807565
701212005,0.0003989414,0.00057807565
701212018,0.0003989414,0.00057807565
701216001,0.0004131183,0.0025783293
701220030,0.0003989414,0.00057807565
701223019,0.00040696622,0.001710318
701225030,0.0003989414,0.00057807565
701229018,0.0003989414,0.00057807565
701232004,0.00042946896,0.0048852786
701242010,0.0003989414,0.00057807565
701242013,0.0004001417,0.00074742734
701245026,0.0003989414,0.00057807565
701246017,0.0003989414,0.00057807565
701248012,0.0003989414,0.00057807565
702202004,0.00041047667,0.002205614
702205035,0.00045103015,0.007927403
702206011,0.000410837,0.002256453
702208025,0.0025911692,0.3098846
702210038,0.0003989414,0.00057807565
702215016,0.0003989414,0.00057807565
702223029,0.0003989414,0.00057807565
702229015,0.00061958074,0.03170859
702235020,0.00044232802,0.0066995956
702237016,0.00039894134,0.0005780682
702251028,0.0003989414,0.00057807565
702252050,0.0003989414,0.00057807565
706106019,0.0004178426,0.003244888
730600068,0.0003989414,0.00057807565
730600074,0.0003989414,0.00057807565
730600082,0.0003989414,0.00057807565
802604039,0.0003989414,0.00057807565
802605024,0.00039894134,0.0005780682
802618005,0.0003989414,0.00057807565
802620013,0.0003989414,0.00057807565
803702051,0.0014764053,0.15259998
803703010,0.0003989414,0.00057807565
803706025,0.0003989414,0.00057807565
803708066,0.0003989414,0.00057807565
803718031,0.0003989414,0.00057807565
803719028,0.00041676516,0.0030928738
803722021,0.00039894134,0.0005780682
803724004,0.0003989414,0.00057807565
803738012,0.0003989414,0.00057807565
803738087,0.0003989414,0.00057807565
803738115,0.0003989414,0.00057807565
803738116,0.00040038634,0.0007819459
803739023,0.0003989414,0.00057807565
803749012,0.0003989414,0.00057807565
804813019,0.0003989414,0.00057807565
804814032,0.00039894134,0.0005780682
806003023,0.0003989414,0.00057807565
806003032,0.0012820485,0.12517773
806012020,0.0003989414,0.00057807565
806017039,0.0003989414,0.00057807565
806022044,0.0003989414,0.00057807565
806411016,0.0003989414,0.00057807565
806412006,0.0003989414,0.00057807565
806412010,0.0003989414,0.00057807565
806413003,0.0015599187,0.16438307
807807016,0.003213755,0.3977267
831600047,0.0003989414,0.00057807565
831600121,0.0003989414,0.00057807565
907202004,0.0003989414,0.00057807565
907202012,0.0003989414,0.00057807565
907205037,0.0003989414,0.00057807565
907206002,0.0003989414,0.00057807565
907208010,0.0003989414,0.00057807565
907210022,0.00039894134,0.0005780682
907212016,0.0003989414,0.00057807565
907212020,0.0003989414,0.00057807565
907218025,0.0012162119,0.115888685
907221010,0.0003989414,0.00057807565
907308025,0.0003989414,0.00057807565
907315020,0.0003989414,0.00057807565
907322021,0.0003989414,0.00057807565
907322056,0.0003989414,0.00057807565
907328013,0.00039894134,0.0005780682
907330023,0.0003989414,0.00057807565
908301019,0.0003989414,0.00057807565
908305023,0.0003989414,0.00057807565
908313042,0.0003989414,0.00057807565
908315021,0.0003989414,0.00057807565
931700005,0.0003989414,0.00057807565
931700013,0.0003989414,0.00057807565
931700060,0.00039894134,0.0005780682
931700104,0.0003989414,0.00057807565
990101040,0.0024801583,0.29422182
990101049,0.0016601813,0.17852935
1001304021,0.0003989414,0.00057807565
1001305010,0.0014971658,0.15552911
1001310001,0.0003989414,0.00057807565
1001310012,0.0003989414,0.00057807565
1001312049,0.0003989414,0.00057807565
1001313006,0.00039894134,0.0005780682
1001314002,0.0003989414,0.00057807565
1001314016,0.0003989414,0.00057807565
1001315008,0.0003989414,0.00057807565
1001315014,0.0003989414,0.00057807565
1001317035,0.0003989414,0.00057807565
1001318022,0.0003989414,0.00057807565
1001322008,0.0003989414,0.00057807565
1001801001,0.0004708241,0.010720171
1003522025,0.00039894134,0.0005780682
1004203029,0.0003989414,0.00057807565
1004206012,0.0003989414,0.00057807565
1004210012,0.0003989414,0.00057807565
1004210037,0.0003989414,0.00057807565
1004212030,0.0004980045,0.014555119
1004214019,0.0003989414,0.00057807565
1004215012,0.0003989414,0.00057807565
1004306007,0.0003989414,0.00057807565
1004307012,0.00039894134,0.0005780682
1004308048,0.0003989414,0.00057807565
1004310011,0.0014876223,0.1541826
1004312011,0.0003989414,0.00057807565
1004316007,0.0003989414,0.00057807565
1004319011,0.0014773841,0.15273808
1030500067,0.0003989414,0.00057807565
1030500073,0.0003989414,0.00057807565
1030900016,0.0011937551,0.11272019
1102301032,0.00039894134,0.0005780682
1102303007,0.00040649585,0.001643952
1102305009,0.0003989414,0.00057807565
1102315025,0.0003989414,0.00057807565
1102317020,0.00042146473,0.0037559457
1102317041,0.00052423077,0.018255442
1102319001,0.0003989414,0.00057807565
1102319005,0.0003989414,0.00057807565
1102319009,0.0003989414,0.00057807565
1102319010,0.00039894134,0.0005780682
1102319016,0.0003989414,0.00057807565
1102319023,0.0003989414,0.00057807565
1102319026,0.0003989414,0.00057807565
1102324013,0.0003989414,0.00057807565
1102401023,0.0003989414,0.00057807565
1102403014,0.0003989414,0.00057807565
1102403030,0.0003989414,0.00057807565
1102404013,0.00039894134,0.0005780682
1102410026,0.0003989414,0.00057807565
1102411012,0.0012032186,0.114055425
1102503004,0.0003989414,0.00057807565
1102506010,0.0003989414,0.00057807565
1102508011,0.0014090968,0.14310326
1102509005,0.0003989414,0.00057807565
1102510007,0.0003989414,0.00057807565
1108203006,0.0003989414,0.00057807565
